,location,In_autonomy,Description
426,Clay Street and Franklin Street,1,"On November 28, 2021 at 6:08 PM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, CA was in a collision involving a passenger vehicle at Clay Street at Franklin Street. The Waymo AV was stopped at a red light on eastbound Clay Street at Franklin Street when a passenger vehicle struck the Waymo AV’s rear bumper. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). The Waymo AV’s rear bumper sustained damage, and the passenger vehicle’s front bumper sustained damage."
429,16th Street at Market and Noe Street,1,"On December 3, 2021 at 12:23 PM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, CA was in a collision involving a passenger vehicle at 16th Street at Market and Noe Street.As the Waymo AV approached the intersection of 16th Street and Market Street, it stopped behind traffic at a red light. After the Waymo AV was fully stopped, a passenger vehicle reversed out of a parking spot perpendicular to the Waymo AV and made contact with the passenger side rear corner of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present in the driver’s seating position. Both vehicles sustained minor damage to their rear bumpers."
431,Oak Street & Stanyan Street,1,"On December 7, 2021 at 10:47 AM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, CA was in a collision involving an SUV at Oak Street at Stanyan Street. While in autonomous mode, the Waymo AV came to a stop at a stop sign on Oak Street. While the ADV was stopped, waiting for a pedestrian to cross and for traffic on Stanyan Street to clear, an SUV approached the Waymo AV from behind and made contact with the rear of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). The Waymo AV sustained minor damage to the rear bumper."
433,Monterey Blvd and Acadia Street,1,"On December 12, 2022 at 4:54 PM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving an SUV on Monterey Boulevard at Circular Avenue.The Waymo AV was stopped facing east on Monterey Boulevard behind stopped traffic in the left-most through lane in autonomous mode. An SUV approached from behind and attempted to change lanes into the left turn lane, making contact with the left rear sensor of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). Both vehicles sustained damage."
434,19th Avenue and Ulloa Street,1,"On December 13, 2022 at 12:35 PM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a passenger vehicle on 19th Avenue at Ulloa Street.The Waymo AV was stopped facing south on 19th Avenue for a red light in the right lane of the three-lane street while in autonomous mode. A passenger vehicle approached from behind and made contact with the rear of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). The Waymo sustained damage."
436,3rd Street at Mariposa Street,1,"On December 29, 2022 at 3:15 AM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a passenger vehicle on 3rd Street and Mariposa Street.The Waymo AV was stopped facing north on 3rd Street for a red light in the right lane of the three-lane street while in autonomous mode. A passenger vehicle approached from behind and stopped behind the Waymo AV before eventually proceeding forward and making contact with the rear of the Waymo AV while the AV was still stopped at the red light. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). The Waymo sustained damage."
437,Manhattan Place at West Adams Boulevard,1,"On January 8, 2023 at 12:05 PM PT a Waymo Autonomous Vehicle (“Waymo AV”) operating in Los Angeles, California was in a collision involving an SUV on Manhattan Place at West Adams Boulevard.  The Waymo AV was traveling northbound on Manhattan Place when it came to a stop to yield to an oncoming vehicle in a narrow roadway with parked vehicles on both sides of the street. As the oncoming SUV passed the Waymo AV, the driver’s side rear of the SUV made contact with the driver’s side rear of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage and the SUV left the scene."
438,Watt Way and West Exposition Boulevard,1,"On February 5, 2024 at 10:01 PM PT a Waymo Autonomous Vehicle (“Waymo AV”) operating in Los Angeles, California was in a collision involving a gate at Watt Way and West Exposition Boulevard.The Waymo AV was traveling south on Watt when it approached an automatic gate as it had started to close. The right side of the Waymo AV made contact with the door of the gate. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage."
439,The Embarcadero at Washington Street,1,"On February 18, 2024 at 1:03 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a passenger car on The Embarcadero at Washington Street.The Waymo AV was stopped in traffic for a red light on The Embarcadero southbound when a passenger car approached from behind and made contact with the rear of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver's seating position). Both vehicles sustained damage and the passenger car left the scene."
441,0,1,0
442,S Figueroa Street at Venice Boulevard,1,"On March 8, 2024 at 12:06 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Los Angeles, California was in a collision involving a passenger car near the 1600 block of S. Figueroa Street. The Waymo AV made a left turn from W. 17th Street onto S. Figueroa Street and came to a stop in a queue of stopped traffic. A passenger car traveling straight on S. Figueroa Street behind the Waymo AV made contact with the rear of the Waymo AV.  At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage and the passenger car left the scene."
443,S Figueroa Street at 7th Street,1,"On March 14, 2024 at 2:42 PM PT a Waymo Autonomous Vehicle (“Waymo AV”) operating in Los Angeles, California was in a collision involving a passenger car on S Figueroa Street at 7th Street. The Waymo AV was traveling northeast on S Figueroa Street in the lane adjacent to the rightmost, bus-only lane. As the Waymo AV approached the intersection with 7th Street, it came to a stop behind another vehicle stopped in traffic. As a passenger car was passing the Waymo AV in the bus lane to the right of the Waymo AV, the passenger car made contact with the passenger side of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage and the passenger car left the scene.Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01."
444,Jack London Alley at Varney Place,1,"On April 3, 2023 at 10:56 PM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving an SUV on Jack London Alley at Varney Place.While traveling northwest on Jack London Alley, the Waymo AV came to a stop to yield to an oncoming SUV in a narrow passageway. The SUV proceeded around the Waymo AV and made contact with the left rear sensor housing of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). The driver of the SUV stopped briefly but left before sharing their information. The Waymo sustained damage."
446,Randall Street near Harper Street,1,"On April 6, 2023 at 10:48 AM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a heavy truck on Randall Street near Harper Street. The Waymo AV was proceeding northwest on Randall Street near the intersection with Harper Street when it came to a stop to yield to a heavy truck traveling southeast on Randall Street. As the heavy truck drove past the Waymo AV, the driver’s side section of the heavy truck made contact with the rear driver’s side sensor of the Waymo AV. The heavy truck then left the scene. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage."
447,25th St & Sanchez St,1,"The Waymo AV was traveling east on 25th Street between Sanchez Street and Vicksburg Street when it approached an SUV that was stopped in the lane in front of the Waymo AV. The Waymo AV began passing the stopped SUV on the left when the SUV began reversing in the lane. The Waymo AV then stopped behind and to the left of the SUV, and the SUV continued reversing and began a turning maneuver to enter a parking space. The left side of the SUV made contact with the front right corner of the Waymo AV. At the time of the impact, the Waymo AV was stopped and the AV’s Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage."
448,Post Street at Webster Street,1,"On May 6, 2023 at 8:48 PM PT a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a passenger vehicle on Post Street at Webster Street.While traveling west on Post Street, the Waymo AV was executing a pullover maneuver in autonomous mode and made contact with the left rear bumper of a parked vehicle. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage."
449,Bay Street near Mason Street,1,"On May 7, 2023 at 3:27 PM PDT a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a cyclist on Bay Street near Mason Street. The Waymo AV was traveling westbound in the left lane on Bay Street and had just passed Mason Street when it detected an oncoming pickup truck traveling eastbound in the Waymo AV’s lane. The Waymo AV stopped and the pickup truck re-entered the correct lane for eastbound traffic and passed the Waymo AV. The pickup truck was immediately followed by a large group of cyclists traveling eastbound in multiple lanes of the roadway, including the right lanes and on the wrong side of the double-yellow centerline. The Waymo AV remained stopped as the oncoming cyclists rode around both sides of the Waymo AV. One cyclist then made contact with the front of the stationary Waymo AV, and then immediately left the scene. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage."
450,Toland Street at Toland Place,1,"On May 21, 2023 at 10:56 AM PT a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a small dog on Toland Street at Toland Place.The Waymo AV was traveling southwest on Toland Street when a small dog ran into the street in front of the Waymo AV. The Waymo AV then made contact with the dog, which did not survive. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). The Waymo AV sustained damage."
451,3911 3rd Street,1,"On June 5, 2023 at 12:53 PM PT a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a van in a parking lot at 3911 3rd Street.The Waymo AV came to a stop while yielding to a pickup truck which was reversing into a perpendicular parking space in front of the Waymo AV. While the Waymo AV was stopped, a van which was in a parking space immediately to the right of the Waymo AV began reversing out of the parking space. The rear of the van made contact with the right side of the Waymo AV. The Waymo AV sustained damage. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode."
453,Santiago Street near 42nd Avenue,1,"On June 11, 2023 at 3:44 PM PT a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a passenger car on Santiago Street near 42nd Avenue.The Waymo AV was parallel parked along the curb on eastbound Santiago Street when a passenger car pulled up behind the Waymo AV. The front of the passenger car made contact with the rear of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage."
454,Great Highway near Kirkham Street,1,"On June 28, 2023 at 9:19 PM PT a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a pickup truck on Great Highway near Kirkham Street. The Waymo AV was parallel parked along the curb on southbound Great Highway when a pickup truck that was initially parked directly behind the Waymo AV began to maneuver out of its parking spot. As the pickup truck pulled out of the parking spot, it initiated a multi-turn maneuver and reversed into the parked Waymo AV. The rear passenger's side corner of the pickup truck made contact with the driver side rear of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage."
455,Jersey Street at Church Street,1,"On June 29, 2023 at 7:50 AM PT a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, CA was in a collision involving a pickup truck on Jersey Street at Church Street. The Waymo AV was traveling eastbound on Jersey Street and stopped at a stop sign at the intersection of Church Street. While yielding to pedestrians crossing the street, a pickup truck traveling directly behind the Waymo AV made contact with the rear of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage."
456,4th Street at S. June Street,1,"On June 29, 2023 at 11:18 PM PT a Waymo Autonomous Vehicle (“Waymo AV”) operating in Los Angeles, California was in a collision involving a pick-up truck on 4th Street at S. June Street.The Waymo AV was traveling eastbound on 4th Street and stopped at a stop sign at the intersection of S. June Street when a pick-up truck approached the Waymo AV from behind and made contact with the rear of the Waymo AV. The Waymo AV test driver took manual control of the Waymo AV to pull over, and the pick-up truck made further contact the Waymo AV. At the time of the initial impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). The Waymo AV sustained damage."
458,S Alameda Street and 6th Street,1,"On July 8, 2023 at 3:08 PM PT a Waymo Autonomous Vehicle (“Waymo AV”) operating in Los Angeles, California was in a collision involving a cyclist on S. Alameda Street at 6th Street.The Waymo AV was traveling southbound on S. Alameda Street and preparing to make a right turn onto westbound 6th Street. As the Waymo AV was yielding to cross-traffic and preparing to make a right turn, a cyclist was traveling eastbound on 6th Street and heading the wrong way in the bike lane. The cyclist then turned left, northbound, onto S. Alameda Street, continuing to travel the wrong direction in the bike lane. As the Waymo AV slowly proceeded forward, the cyclist passed the Waymo AV and made contact with the rear passenger side sensor of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). The Waymo AV sustained damage and the cyclist did not stop, leaving the scene without exchanging information."
460,Leavenworth Street at Golden Gate Avenue,1,"On July 21, 2023 at 9:51 AM PT a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a passenger car on Leavenworth Street at Golden Gate Avenue.  The collision occurred while the Waymo AV was stopped in the leftmost lane of a two-lane, one-way road at the intersection of Leavenworth Street at Golden Gate Avenue. The Waymo AV was stopped before the intersection, yielding to blocking cross-traffic when the light turned yellow. At that point, a passenger car that had been stopped behind the Waymo AV passed the Waymo AV on the left and proceeded into the intersection. While passing the Waymo AV, the passenger car’s rear passenger side door made contact with the driver side rear of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode. The passenger car did not stop but appears to have sustained damage."
461,13th Street east of Folsom Street,1,"On July 22, 2023 at 11:11 AM PT a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a passenger vehicle on 13th Street east of Folsom Street.The Waymo AV was facing east while stopped just left of the right turn lane on 13th Street, with stopped traffic to the right. After waiting to merge, the Waymo AV reversed slightly to reroute and while doing so, a sensor on the right front of the Waymo AV made contact with the left rear side of a vehicle in the right turn lane. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode. The other vehicle sustained damage."
462,Harrison Street at 2nd Street,1,"On July 25, 2023 at 3:04 PM PT a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a pickup truck on Harrison Street at 2nd Street. The Waymo AV was parallel parked along the curb on eastbound Harrison Street at 2nd Street when it began to pull away from the curb and into traffic. As the Waymo AV pulled away from the curb, a pickup truck that was traveling behind the Waymo AV then made contact with the rear of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). Both vehicles sustained damage."
463,Colorado Avenue near Ocean Avenue,1,"On July 29, 2023 at 2:57 PM PT a Waymo Autonomous Vehicle (“Waymo AV”) operating in Santa Monica, California was in a collision involving a cyclist on Colorado Avenue near Ocean Avenue.The Waymo AV was stopped in traffic on southwestbound Colorado Avenue when a cyclist that had been traveling behind the Waymo AV passed the Waymo AV on the right. As the cyclist passed the Waymo AV, the cyclist made contact with the front passenger side sensor of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). The Waymo AV sustained damage and the cyclist did not stop, leaving the scene without exchanging information."
464,Bush Street at Polk Street,1,"On August 2, 2023 at 10:09 PM PT a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving an SUV on Bush Street at Polk Street.The Waymo AV was stopped at a red light on eastbound Bush Street at Polk Street. Shortly after the traffic light turned green and the Waymo AV began to proceed forward, the Waymo AV slowed to a stop. The SUV that was traveling closely behind the Waymo AV made contact with the rear of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage, and the trailing SUV left the scene without exchanging information. A passenger in the Waymo AV reported injuries."
467,13th Street at Mission Street,1,"On August 19, 2023 at 4:45 PM PT a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a passenger car on 13th Street at Mission Street.The Waymo AV entered the slip lane which connects westbound 13th Street to northbound Mission Street and came to a stop to yield to cross-traffic on Mission Street. As the Waymo AV was stopped, the front of the passenger car which was traveling behind the Waymo AV made contact with the rear of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). The Waymo AV sustained damage."
468,Martin Luther King Jr. Drive at Crossover Drive,1,"On August 20, 2023 at 5:49 PM PT the mirror of a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, CA was struck by a cyclist on Martin Luther King Jr. Drive at Crossover Drive.The Waymo AV was stopped in traffic on eastbound Martin Luther King Jr. Drive at the intersection with Crossover Drive, when a cyclist that had been traveling behind the Waymo AV passed the Waymo AV on the left. As the cyclist passed the Waymo AV, the cyclist made contact with the driver side mirror of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). The Waymo AV sustained damage and the cyclist did not stop, leaving the scene without exchanging information."
469,Mason Street at Vandewater Street,1,"On August 23, 2023 at 9:54 PM PT a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a heavy truck on Mason Street at Vandewater Street.The Waymo AV was traveling northbound on Mason Street when it approached a heavy truck and trailer that was stopped in the adjacent lane on the left side of the street. As the Waymo began to slowly pass the truck, the truck initiated a reversing turn maneuver into a loading bay on the left side of Mason Street. The Waymo AV then came to a stop, and as the Waymo AV was initiating its own reversing maneuver to clear the path for the truck, the right side of the trailer made contact with the front driver’s side corner of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage."
470,Michigan Avenue at Euclid Street,1,"On August 24, 2023 at 4:39 PM PT a Waymo Autonomous Vehicle (“Waymo AV”) operating in Santa Monica, California was in a collision involving a passenger car on Michigan Avenue at Euclid Street. The Waymo AV was traversing a roundabout at the intersection of Michigan Avenue at Euclid Street when it slowed to a stop for other vehicles approaching and in the roundabout. The front of the passenger car that was in the roundabout behind the Waymo AV made contact with the rear of the Waymo AV. Both vehicles sustained damage."
473,US-101 Exit 429B at Bayshore Blvd,1,"On September 20th, 2023 at 9:00 PM PT a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a passenger car on US-101 exit ramp 429B at the intersection with Bayshore Boulevard.The Waymo AV was proceeding south on exit ramp 429B in the leftmost lane and entered the slip lane to proceed north on Bayshore Boulevard. As the Waymo AV came to a stop for a red light at the intersection with Bayshore Boulevard, the front of the passenger car which was following behind the Waymo AV made contact with the rear of the Waymo AV. The Waymo AV sustained damage. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present."
476,3rd Street at Stevenson Street,1,"On November 3, 2023 at 3:44 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a passenger car on 3rd Street at Stevenson Street.The Waymo AV was stopped in the rightmost non-HOV lane on northbound 3rd Street waiting for the intersection at Stevenson Street to clear during a green light. The passenger car behind the Waymo AV was rear-ended by a pickup truck, causing the front of the passenger car to make contact with the rear of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). All three vehicles sustained damage."
477,West 7th Street at South Park View Street,1,"On November 22, 2023 at 7:59 PM PT a Waymo Autonomous Vehicle (“Waymo AV”) operating in Los Angeles, California was in a collision involving a passenger vehicle on West 7th Street at South Park View Street.The Waymo AV was stopped for a red light facing southeast on West 7th Street at South Park View Street when a passenger vehicle approached from behind and made contact with the rear of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). The Waymo AV sustained damage."
479,2630 Orchard Parkway,1,"At about 11:35 am our vehicle (car 1) was waiting behind a USPS truck to make an unprotected left turn, meanwhile one other vehicle (car 2) waited behind our vehicle.   Another non involved vehicle notices the queue of vehicles and passes on the right in the bike lane.  As the USPS truck begins to make the turn, car 1 begins to move forward at 7 MPH then slowed to 3 MPH when yielding to the vehicle passing in the bike lane. Car 2 directly behind us strikes our passenger rear bumper.  The safety driver then disengaged the vehicle (car 1) and moved into a nearby parking lot to exchange information."
481,87 S On-ramp from Charcot Ave,1,"At 3:27 PM on 11/03/2021, a driver from Weride was operating one of our autonomous vehicles in autonomous mode on the on-ramp to CA 87 S from Charcot Avenue in North San Jose.  Our car was in the queue of traffic waiting for the metering light.   While our car was stationary (0 MPH), the other car involved accelerated slightly to about 5 MPH, which resulted in a minor rear end collision.  Our driver and the other party pulled over onto the shoulder.  There were no injuries and information was exchanged.  Since damage to our car was minimal, it was driven back to the office in manual mode."
482,On 2nd St Left turn to  E San Fernando St,1,"At approximately 12:56pm, a WeRide vehicle (car 1) was slowing to a stop (< 3mph) on 2nd street at the intersection of East San Fernando st. to turn left in an effort to yield to crossing pedestrians. At this time a Toyota Prius (car 2) traveling (>10mph) had slammed into car 1's rear - causing damage primarily to car 1. Both parties pulled over to a safe location to exchange information but the driver of car 2 could not provide a valid insurance or registration certificate."
483,Bay St and Columbus Ave,1,"On Monday May 1st at 11:41am a Weride autonomous vehicle (Vehicle 1) was in Autonomous Mode stopped at the intersection of Bay St towards Columbus Ave appropriately yielding to a illegally U turning skateboard on Bay St North to South direction in front of the AV (Vehicle 1). While yielding, a bicyclist was coming from behind our AV (Vehicle 1) head was turned left possibly looking for cross traffic. When the cyclist turned his head forward, it was too late to react in time to our stopped vehicle(Vehicle 1) with the given distance and speed they were traveling at in which the cyclist collided with our vehicle (Vehicle 1). Our Weride safety officer immediately disengaged and hand signaled to the bicyclist to pull over to the closest safe place to park as to not obstruct traffic. As our safety officer parked and got out of the car to check on the bicyclist, the bicyclist was already on in motion on his bicycle and ""fist bumped"" our safety officer while passing by him and leaving the scene without exchanging any information."
484,E Trimble Rd between Junction Ave and Zanker Rd,1,"At 2:06pm a WeRide driverless vehicle (car 1) was stopped behind a big rig truck (vehicle 2). As our vehicle (car 1) was stopped behind the big rig truck, the big rig truck proceeded to reverse backwards and eventually collided into the WeRide vehicle (car 1). Both parties pulled over both involved vehicles and cooperated to exchange information. The damage sustained to the WeRide vehicle was moderate and the big rig truck did not have any damage."
486,On Embarcadero St left turning lane to Howard St,1,"At 1:54pm, a WeRide vehicle (Car 1) was stopped on Embarcadero St left turning lane to Howard St. As our vehicle (Car 1) was stopped for red traffic light, the toyota suv (Car 2) approaching from behind collided with our vehicle (Car 1). Both parties pulled over both involved vehicles and cooperated to exchange information. The damage sustained to the WeRide vehicle (Car 1) and toyota suv (Car 2) are minor."
492,Broadway St. and Powell St.,1,"A Zoox vehicle traveling in autonomous mode on Broadway St. towards Powell St. encountered a double-parked flatbed truck. The Zoox vehicle began to maneuver around the stationary truck and made slight contact with the left rear of the truck, causing a scrape on the passenger-side door of the Zoox vehicle; there was no damage to the truck. There were no injuries and police were not called."
494,2nd Street and Folsom Street Intersection,1,A Zoox vehicle in autonomous mode was making a right turn to travel southwest onto 2nd Street from Folsom Street from lane 1 when Vehicle 2 crossed from lane 3 into the Zoox vehicle's lane and made contact with the Zoox vehicle's front sensors before making the right turn.  Vehicle 2 did not stop before leaving the scene. No information was exchanged. There were no injuries and the police were not called.
495,Embarcadero between Howard St. and Folsom St.,1,A Zoox vehicle in autonomy was stopped with brake lights illuminated in traffic southbound on Embarcadero Street towards Folsom Street. When traffic ahead began to move the Zoox vehicle was appropriately following the car ahead at low speed when it was rear ended by Vehicle #2 at low speed. The other party did not stop to exchange information and left the scene. There were no injuries and police were not called.
497,5th Street and Jesse Street,1,A Zoox vehicle in autonomous mode was slowing to a stop with brake lights illuminated behind traffic on northbound 5th Street near Jesse Street when a vehicle behind made contact at approximately 10mph. There were no injuries and police were not called.
500,Montgomery St and Clay St,1,"A Zoox vehicle was in autonomous mode while making a right lane change on Montgomery St facing north towards Clay St. A car entered traffic from a stop sign intersection on right without stopping and struck the Zoox vehicle's rear passenger side door, causing moderate damage. There were no injuries and police were not called."
501,Montgomery St and Pacific St,1,"A Zoox vehicle was stationary in autonomous mode on Montgomery St facing north towards Broadway St, yielding for an oncoming bus encroaching upon its lane. The bus struck the driver's side mirror, causing it to fold with minor damage. The bus driver did not stop, so no information was exchanged. There were no injuries and police were not called."
504,Mason St. and Ellis St. Intersection,1,"A Zoox vehicle in autonomous mode was proceeding straight through the intersection of Mason St. and Ellis St. when it was rear-ended by a passenger vehicle that was switching lanes and made contact with the Zoox vehicle's sensors. The other party left the scene. The police were not called, and there were no injuries."
509,14th St. & Harrison St. Intersection,1,"A Zoox vehicle in autonomy was proceeding straight on Harrison St. in San Francisco, Ca, when a passenger vehicle turning left from 14th St. on to Harrison St. struck the rear of the Zoox vehicle damaging the sensors. There were no injuries and the police were not called."
513,Intersection of Folsom and 5th Street,1,"A Zoox vehicle in autonomous mode was traveling on Folsom Street straight through the 5th Street intersection when a passenger vehicle in the right adjacent lane attempted to make a left turn in front of the Zoox vehicle onto 5th Street. The rear left bumper of the turning passenger vehicle made contact with the front right side of the Zoox vehicle. There were no injuries, and the police were not called."
514,Harrison St / 13th St,1,A Zoox vehicle in autonomous mode was stopped in traffic at the intersection of Harrison St. and 13 St. when a passenger vehicle from behind hit the Zoox vehicle’s rear bumper and sensors at a low speed. There were no injuries and police were not called.
515,Union St. and Grant St.,1,"The stationary Zoox vehicle was in autonomous mode heading northbound on Union St. Contact occurred when the Zoox vehicle was stopped at a stop sign at the intersection of Union St. and Grant St., when it was rear-ended by an electric scooter. The scooter was following closely behind the Zoox vehicle and the scooter driver was not focused on the Zoox vehicle in front of it, when the scooter's front tire made contact with the rear bumper of the Zoox vehicle.  There were no injuries."
516,Polk St. and Green St.,1,"The stationary Zoox vehicle was in autonomous mode at the stop sign on Polk St. heading northbound towards Green St. The Zoox vehicle moved forward slightly, then slowed down in caution to a pedestrian on its left and potential oncoming vehicles when the driver of the vehicle behind the Zoox vehicle made contact with the rear bumper of the Zoox vehicle.  There were no injuries."
517,Broadway St & Sansome St Intersection,1,A Zoox vehicle was proceeding straight in autonomy through an intersection with a green light and right of way when vehicle 2 attempted an illegal left turn across lanes of traffic into Zoox’s right of way. The safety driver disengaged and applied max braking effort which allowed Zoox to mitigate but not completely prevent the unavoidable collision. The Zoox vehicle struck the right front corner of vehicle 2. No injuries were reported and the police were not called to the scene.
518,The Embarcadero and Washington Street,1,"A Zoox vehicle in autonomy was stopped at a red light waiting for traffic ahead on Embarcadero with brake lights illuminated. When the traffic light changed to green, surrounding traffic began to move. The Zoox vehicle appropriately continued to wait for a stopped lead vehicle immediately ahead when vehicle 2 struck the Zoox vehicle from the rear. Zoox vehicle camera footage shows the driver of vehicle 2 holding their cellphone raised in their hand at the time of contact. There were no injuries and police were not called."
523,Mason Street and Eddy Street,1,"A Zoox vehicle in autonomous mode was proceeding straight in its lane on Mason Street in San Francisco, CA when an occupant of a parallel parked car (Vehicle 2) abruptly opened its rear passenger side door into the side of the Zoox vehicle, causing minor damage to both vehicles. The Zoox operator disengaged as a result of the contact. There were no injuries and the police were not called."
525,13th and Bryant St.,1,A stopped Zoox vehicle in autonomous mode was struck by a passenger vehicle that approached it at low speed from behind. The Zoox vehicle incurred damage to its sensors and rear bumper. There were no injuries and the police were not called.
527,Brannan and 7th Intersection,1,A Zoox vehicle in autonomous mode was stopped at a traffic light on Brannan Street at 7th Street when a passenger vehicle hit the Zoox vehicle from behind. The passenger vehicle left the scene without exchanging information. There were no injuries and the police were not called.
531,3rd Street and Stillman Street,1,A Zoox vehicle in autonomous mode was stopped in traffic when a passenger vehicle from behind made contact with the rear of the Zoox vehicle at low speed. The police were not called.
532,9th and Bryant Street,1,A Zoox vehicle in autonomous mode was making a right turn from Bryant Street onto 9th Street when a vehicle overtaking from the rear switched lanes as it drove in front of the Zoox vehicle and made contact with the front Zoox sensors. The other party left the scene. The police were not called and there were no injuries.
